prob_0,prob_1,predicted_class,set,date,true_y
0.9836659,0.01633409,0,train,1981-11-16,0
0.9861221,0.013877893,0,train,1981-11-17,0
0.96523273,0.03476727,0,test,1981-11-18,0
0.09734375,0.9026562,1,train,1981-11-19,0
0.7268966,0.27310342,0,train,1981-11-20,0
0.9912504,0.008749652,0,train,1981-11-21,0
0.9871437,0.0128562525,0,train,1981-11-22,0
0.9716661,0.028333925,0,train,1981-11-23,0
0.9920332,0.007966825,0,train,1981-11-24,0
0.9777259,0.022274012,0,train,1981-11-25,0
0.08900953,0.9109905,1,train,1981-11-26,0
0.9372337,0.06276631,0,train,1981-11-27,0
0.96895146,0.031048536,0,train,1981-11-28,0
0.9555537,0.04444637,0,test,1981-11-29,0
0.6521899,0.34781012,0,train,1981-11-30,0
0.17402469,0.82597524,1,test,1981-12-01,1
0.9705227,0.0294773,0,train,1981-12-02,0
0.9865182,0.01348181,0,train,1981-12-03,0
0.9760429,0.023957072,0,train,1981-12-04,0
0.99048495,0.009515064,0,train,1981-12-05,0
0.98907626,0.010923682,0,train,1981-12-06,0
0.97173274,0.028267318,0,train,1981-12-07,0
0.98106486,0.018935088,0,train,1981-12-08,0
0.9930536,0.006946403,0,train,1981-12-09,0
0.9920561,0.007943887,0,train,1981-12-10,0
0.9834684,0.016531557,0,train,1981-12-11,0
0.9588655,0.04113455,0,test,1981-12-12,0
0.95591825,0.044081792,0,train,1981-12-13,0
0.9437231,0.056276955,0,test,1981-12-14,0
0.9865522,0.01344775,0,train,1981-12-15,0
0.9860364,0.013963561,0,train,1981-12-16,0
0.9323085,0.06769152,0,train,1981-12-17,0
0.9922472,0.0077527114,0,train,1981-12-18,0
0.99727315,0.0027268908,0,train,1981-12-19,0
0.9942615,0.0057384674,0,train,1981-12-20,0
0.9737092,0.026290845,0,test,1981-12-21,0
0.897895,0.102105014,0,train,1981-12-22,0
0.849313,0.15068695,0,test,1981-12-23,0
0.95472074,0.045279242,0,test,1981-12-24,0
0.951211,0.048789,0,test,1981-12-25,0
0.26700002,0.7329999,1,train,1981-12-26,0
0.8195197,0.18048029,0,train,1981-12-27,0
0.8827242,0.117275774,0,test,1981-12-28,0
0.967995,0.03200494,0,train,1981-12-29,0
0.9666126,0.03338738,0,train,1981-12-30,0
0.20317318,0.79682684,1,train,1981-12-31,0
0.9505728,0.049427193,0,train,1982-01-01,0
0.655653,0.34434697,0,train,1982-01-02,0
0.21570548,0.7842944,1,train,1982-01-03,0
0.21146023,0.7885398,1,test,1982-01-04,0
0.9750806,0.024919342,0,train,1982-01-05,0
0.77977407,0.22022595,0,train,1982-01-06,0
0.9547297,0.045270365,0,train,1982-01-07,0
0.9577016,0.042298414,0,train,1982-01-08,0
0.9799166,0.02008347,0,train,1982-01-09,0
0.99294114,0.0070588198,0,train,1982-01-10,0
0.99478686,0.0052131675,0,train,1982-01-11,0
0.9558334,0.044166546,0,train,1982-01-12,0
0.9116281,0.08837185,0,train,1982-01-13,0
0.9917647,0.00823521,0,test,1982-01-14,0
0.9706488,0.029351216,0,train,1982-01-15,0
0.93112606,0.068873964,0,test,1982-01-16,0
0.99088436,0.009115605,0,test,1982-01-17,0
0.84438986,0.15561019,0,train,1982-01-18,0
0.59195864,0.4080414,0,train,1982-01-19,0
0.59288126,0.4071188,0,train,1982-01-20,0
0.4633575,0.53664243,1,train,1982-01-21,0
0.12414039,0.8758597,1,train,1982-01-22,0
0.039772984,0.9602271,1,train,1982-01-23,1
0.9887709,0.011229026,0,train,1982-01-24,0
0.9421312,0.05786879,0,train,1982-01-25,0
0.99437404,0.00562602,0,train,1982-01-26,0
0.9437459,0.05625417,0,test,1982-01-27,0
0.94175774,0.058242276,0,train,1982-01-28,0
0.96771073,0.032289322,0,train,1982-01-29,0
0.16767748,0.8323226,1,train,1982-01-30,0
0.5444049,0.45559505,0,train,1982-01-31,0
0.981487,0.01851303,0,train,1982-02-01,0
0.47056997,0.52943003,1,train,1982-02-02,0
0.77251506,0.22748491,0,train,1982-02-03,0
0.9372633,0.06273666,0,train,1982-02-04,0
0.73402387,0.26597616,0,train,1982-02-05,0
0.9725326,0.02746739,0,test,1982-02-06,0
0.976038,0.023962058,0,train,1982-02-07,0
0.7550142,0.24498576,0,train,1982-02-08,0
0.86719745,0.1328026,0,train,1982-02-09,0
0.99022293,0.009777148,0,train,1982-02-10,0
0.97806746,0.021932507,0,train,1982-02-11,0
0.89361936,0.10638059,0,test,1982-02-12,0
0.9879534,0.01204653,0,test,1982-02-13,0
0.9797785,0.020221524,0,test,1982-02-14,0
0.9686188,0.031381182,0,train,1982-02-15,0
0.87241185,0.12758815,0,train,1982-02-16,0
0.8697772,0.13022284,0,test,1982-02-17,0
0.9606019,0.03939803,0,train,1982-02-18,0
0.99210405,0.007895909,0,train,1982-02-19,0
0.98711073,0.012889326,0,train,1982-02-20,0
0.99173623,0.008263751,0,train,1982-02-21,0
0.99614763,0.003852343,0,train,1982-02-22,0
0.9752088,0.024791202,0,train,1982-02-23,0
0.52881676,0.47118324,0,train,1982-02-24,0
0.92174596,0.07825405,0,train,1982-02-25,0
0.98283744,0.017162547,0,test,1982-02-26,0
0.965402,0.034597985,0,test,1982-02-27,0
0.95476824,0.045231797,0,test,1982-02-28,0
0.99127406,0.008725932,0,train,1982-03-01,0
0.97223985,0.027760126,0,train,1982-03-02,0
0.6475037,0.3524964,0,train,1982-03-03,0
0.4124522,0.5875478,1,train,1982-03-04,0
0.9478582,0.0521417,0,train,1982-03-05,0
0.95587915,0.044120878,0,test,1982-03-06,0
0.99195194,0.008048093,0,train,1982-03-07,0
0.98830414,0.011695842,0,train,1982-03-08,0
0.9742176,0.02578239,0,train,1982-03-09,0
0.93203527,0.067964815,0,train,1982-03-10,0
0.92325425,0.07674575,0,test,1982-03-11,0
0.95743334,0.042566687,0,train,1982-03-12,0
0.89974445,0.10025554,0,test,1982-03-13,0
0.96831155,0.031688485,0,train,1982-03-14,0
0.81438196,0.18561801,0,train,1982-03-15,0
0.11799706,0.8820029,1,train,1982-03-16,0
0.6796171,0.32038283,0,test,1982-03-17,0
0.84572417,0.1542758,0,train,1982-03-18,0
0.3573591,0.6426409,1,train,1982-03-19,0
0.046192944,0.95380706,1,train,1982-03-20,0
0.3547923,0.6452077,1,train,1982-03-21,0
0.95574474,0.04425529,0,train,1982-03-22,0
0.9599047,0.040095303,0,train,1982-03-23,0
0.8983187,0.101681285,0,train,1982-03-24,0
0.88937545,0.11062457,0,train,1982-03-25,0
0.9945551,0.005444891,0,train,1982-03-26,0
0.9948835,0.0051164464,0,train,1982-03-27,0
0.9946267,0.0053733457,0,train,1982-03-28,0
0.9820864,0.017913595,0,train,1982-03-29,0
0.10485447,0.8951456,1,train,1982-03-30,0
0.6052466,0.39475334,0,train,1982-03-31,0
0.9718838,0.028116154,0,train,1982-04-01,0
0.11102613,0.88897383,1,train,1982-04-02,0
0.07529277,0.9247072,1,train,1982-04-03,1
0.981423,0.01857696,0,train,1982-04-04,0
0.40295446,0.59704554,1,test,1982-04-05,0
0.9768397,0.023160303,0,train,1982-04-06,0
0.9610127,0.03898731,0,train,1982-04-07,0
0.54232675,0.45767325,0,train,1982-04-08,0
0.94474936,0.055250637,0,train,1982-04-09,0
0.9322451,0.06775487,0,train,1982-04-10,0
0.9943023,0.0056977402,0,train,1982-04-11,0
0.986584,0.013416044,0,test,1982-04-12,0
0.88400453,0.115995474,0,train,1982-04-13,0
0.9824472,0.017552758,0,train,1982-04-14,0
0.93228656,0.06771346,0,train,1982-04-15,0
0.31200418,0.68799585,1,train,1982-04-16,0
0.57378286,0.42621717,0,train,1982-04-17,0
0.98158824,0.018411784,0,test,1982-04-18,0
0.46536168,0.53463835,1,train,1982-04-19,0
0.31472623,0.68527377,1,train,1982-04-20,0
0.9822772,0.017722815,0,train,1982-04-21,0
0.9917327,0.008267222,0,test,1982-04-22,0
0.9902942,0.009705734,0,test,1982-04-23,0
0.96669143,0.033308588,0,train,1982-04-24,0
0.9196424,0.08035759,0,train,1982-04-25,0
0.92299515,0.0770049,0,train,1982-04-26,0
0.9902462,0.009753839,0,train,1982-04-27,0
0.99017465,0.009825421,0,train,1982-04-28,0
0.98558414,0.014415902,0,train,1982-04-29,0
0.97346115,0.026538827,0,test,1982-04-30,0
0.9896533,0.010346729,0,train,1982-05-01,0
0.99179536,0.008204652,0,train,1982-05-02,0
0.9932214,0.0067786314,0,train,1982-05-03,0
0.98179483,0.018205224,0,train,1982-05-04,0
0.40272537,0.5972746,1,train,1982-05-05,0
0.07535534,0.9246447,1,train,1982-05-06,0
0.674988,0.32501206,0,train,1982-05-07,0
0.9916351,0.00836487,0,train,1982-05-08,0
0.9887396,0.011260414,0,test,1982-05-09,0
0.94726026,0.052739717,0,train,1982-05-10,0
0.8837979,0.11620212,0,train,1982-05-11,0
0.8124723,0.18752773,0,train,1982-05-12,0
0.188129,0.81187093,1,train,1982-05-13,1
0.11943192,0.8805681,1,train,1982-05-14,1
0.1416893,0.8583107,1,train,1982-05-15,1
0.17640619,0.82359385,1,train,1982-05-16,0
0.47122055,0.52877945,1,train,1982-05-17,0
0.9112333,0.088766664,0,test,1982-05-18,0
0.96788085,0.032119095,0,test,1982-05-19,0
0.6776393,0.32236075,0,train,1982-05-20,0
0.14333403,0.856666,1,train,1982-05-21,1
0.4012525,0.5987475,1,train,1982-05-22,0
0.8427706,0.15722936,0,train,1982-05-23,0
0.86260414,0.13739581,0,train,1982-05-24,0
0.86220944,0.13779059,0,train,1982-05-25,0
0.7663454,0.23365466,0,test,1982-05-26,0
0.769649,0.23035099,0,train,1982-05-27,0
0.61285776,0.38714224,0,train,1982-05-28,0
0.27358043,0.72641957,1,train,1982-05-29,0
0.5399606,0.46003938,0,train,1982-05-30,0
0.27078125,0.72921884,1,train,1982-05-31,1
0.96392274,0.03607725,0,train,1982-06-01,0
0.9671665,0.03283358,0,train,1982-06-02,0
0.9001725,0.099827595,0,train,1982-06-03,0
0.9342781,0.065721914,0,train,1982-06-04,0
0.9887228,0.011277169,0,train,1982-06-05,0
0.9148198,0.0851803,0,train,1982-06-06,0
0.6896726,0.3103274,0,train,1982-06-07,0
0.6803926,0.31960738,0,train,1982-06-08,0
0.106724046,0.893276,1,train,1982-06-09,1
